region_Rus;znach;region_Eng
Белгородская область;241;Belgorodskaya Oblast
Брянская область;104;Bryanskaya Oblast
Владимирская область;145;Vladimirskaya Oblast
Воронежская область;378;Voronezhskaya Oblast
Ивановская область;128;Ivanovskaya Oblast
Калужская область;118;Kaluzhskaya Oblast
Костромская область;1982;Kostromskaya Oblast
Курская область;229;Kurskaya Oblast
Липецкая область;164;Lipetskaya Oblast
Московская область;2262;Moskovskaya
Орловская область;78;Orlovskaya|Or'ol|Oryol|Orlovskaya Oblast
Рязанская область;167;Ryazanskaya Oblast|Ryazanskaya Oblast
Смоленская область;151;Smolenskaya Oblast
Тамбовская область;95;Tambovskaya Oblast
Тверская область;1399;Kalinin|Kalininskaya|Tverskaya Oblast
Тульская область;269;Tul'skaya|Tulskaya Oblast
Ярославская область;224;Yaroslavskaya
г. Москва;1700;Mosca|Moscou|Moscow|Moskau|Moskova|Moskovskaya
Республика Карелия;191;Karelian A.S.S.R.|Karelo-Finnish A.S.S.R.|Karel'skaya A.S.S.R.|Olonets|Olonetskaya G.|Kareliya|Republic of Karelia
Республика Коми;456;Komi A.S.S.R.|Republic of Komi|Respublika Komi
Архангельская область;634;Arcangelo|Archangel|Archangelsk|Arkhangelskaya Oblast
Вологодская область;481;Vologodskaya Oblast
Калининградская область;112;Kaliningradskaya Oblast
Ленинградская область;4522;Leningradskaya Oblast
Мурманская область;1593;Murmanskaya Oblast
Новгородская область;122;Novgorodskaya Oblast
Псковская область;263;Pskovskaya Oblast
г. Санкт-Петербург;964;Saint Petersburg|Sankt-Peterburgskaya G.|Leningradskaya Oblast
Республика Адыгея;174;Adygea|Adygeya|Adygheya|Republic of Adygeya|Adygeyskaya A.Obl.|Respublika Adygeya
Республика Калмыкия;290;Kalmykiya|Khalmg Tangch|Republic of Kalmykia|Kalmytskaya A.S.S.R.|Respublika Kalmykiya
Краснодарский край;3014;Cossacks of the Black Sea|Kuban|Kubanskaya|Yekaterinodar|Krasnodarskiy Kray
Астраханская область;800;Astrachan|Astrakhanskaya Oblast
Волгоградская область;583;Stalingrad|Volgogradskaya Oblast
Ростовская область;2247;Province of the Don Cossacks|Provinz des Donischen Heeres|Voyska Donskovo|Rostovskaya Oblast
Республика Дагестан;2212;Dagestanskaya A.S.S.R.|Daghestan|Republic of Dagestan|Respublika Dagestan|Dagistan
Республика Ингушетия ;109;Ingouchie|InguchГ©tia|Inguschetien|Ingushetia|Ingushetiya|Ingush Republic|Ingushskaya Respublika|Respublika Ingushetiya
Кабардино-Балкарская Республика;448;Kabardin A.S.S.R.|Kabardino-Balkarskaya A.S.S.R.|Kabardino-Balkariya|Kabardino-Balkarsk|Kabard|Kabardino-Balkarskaya Republic
Карачаево-Черкесская Республика;46;KaraГ§ay-Г‡erkes|Karachay-Cherkessiya|Karachayevo-Cherkesskaya Respublika|Karachayevo-Cherkessiya|Karachayevo-Cherkess Republic|K
Республика Северная Осетия - Алания;179;Kuzey Osetya|Respublika Severnaya Osetiya|Severnaya Osetiya-Alaniya|North Ossetian A.S.S.R.|Republic of North Osetia-Alania
Чеченская Республика ;383;Cecenia|Chechenia|ChechГЄnia|Tchetchnia|Chechen-Ingush A.S.S.R.|Checheno-Ingushetia|Checheno-Ingushetia
Ставропольский край;2831;Stavropol'skiy Kray|Stavropolskiy Kray
Республика Башкортостан;784;Bashkir|Bashkiriya|Bashkirskaya A.S.S.R.|Republic of Bashkortostan|Respublika Bashkortostan
Республика Марий Эл;79;Mari|Mari-El|Republic of Mari El|Mariyskaya A.S.S.R.|Respublika Mariy El
Республика Мордовия;60;Mordov|Mordvian Autonomous Republic|Mordvinia|Republic of Mordovia|Mordovian A.S.S.R.
Республика Татарстан;747;Kazan|Kazanskaya G.|Tatar A.S.S.R.|Tatarskaya A.S.S.R.|Republic of Tatarstan|Respublika Tatars
Удмуртская Республика;281;Udmurtiya|Udmurt Republic|Udmurtskaya A.S.S.R.|Udmurtskaya Respublika
Чувашская Республика;104;Chuvashskaya A.S.S.R.|Chuvashskaya Respublika|Chuvashiya|Chuvash Republic
Пермский край;2154;Molotov|Permskaya
Кировская область;214;Vyatka|Vyatskaya G.|Kirovskaya Oblast
Нижегородская область ;997;Gor'kiy|Gor'kovskaya|Gorky|Nizhegorodskaya|Nizhniy-Novgorod|Nizhegorodskaya Oblast
Оренбургская область;1495;Chkalov|Orenburgskaya|Orenburgskaya Oblast
Пензенская область;196;Penzenskaya Oblast
Самарская область;761;Kuybyshev|Kuybyshevskaya|Samarskaya Oblast
Саратовская область;479;Saratovskaya Oblast
Ульяновская область;157;Simbirsk|Simbirskaya G.|Ul'yanovskaya Oblast
Курганская область;59;Kurganskaya Oblast
Свердловская область ;850;Yekaterinburg|Sverdlovskaya Oblast
Ханты-Мансийский автономный округ – Югра;2040;Khanty-Mansiysk|Khanty-Mansiyskiy A.Okr.|Khanty-Mansiyskiy A.Okr.-Yugra|Khanty-Mansiyskiy Aok
Ямало-Ненецкий автономный округ;225;Yamalo-Nenetskiy A. Okrug
Тюменская область;947;Tobol'sk|Tobol'skaya G.|Tyumenskaya Oblast
Челябинская область;600;Chelyabinskaya Oblast
Республика Алтай;8;Gorno-Altayskaya A.Obl.|Respublika Altay|Oirot|Republic of Altai
Республика Бурятия;518;Buryatiya|Buryat-Mongol A.S.S.R.|Republic of Buryatia|Buryatskaya A.S.S.R.|Respublika
Республика Тыва;46;Respublika Tyva|Republic of Tuva|Tyva|Tuvinskaya A.S.S.R.|Republic of Tyva
Республика Хакасия;88;Khakassiya|Republic of Khakasia|Khakasskaya A.Obl.|Respublika Khakasiya|Republic of Khakasia
Алтайский край;405;Altayskiy Kray
Забайкальский край;236;Zabaykalsky
Красноярский край;2084;Krasnoyarskiy Kray|Yeniseisk|Yeniseyskaya G.
Иркутская область;921;Irkutskaya Oblast
Кемеровская область;1731;Kemerovskaya Oblast
Новосибирская область;570;Novosibirskaya Oblast
Омская область;201;Omskaya Oblast
Томская область;491;Tomskaya Oblast
Республика Саха (Якутия);161;Republic of Sakha|Yakutia-Sakha|Yakutsk|Yakut A.S.S.R.|Yakutskaya A.S.S.R.|Respublika Sakha
Камчатский край;165;KamГ§atka|Kamchatskaya Kray
Приморский край;611;KГјsten-Gebiet|Maritime Territory|Primorsk|Primorskiy Kray
Хабаровский край;365;Khabarovskiy Kray
Амурская область;79;Amurskaya Oblast
Магаданская область;83;Magadanskaya Oblast
Сахалинская область;194;Sakhalinskaya Oblast
Еврейская автономная область;21;Den jГёdiske autonome oblasten|Evrey|Jewish A.Obl.|Yahudi|Yevreyskaya A.Obl.|Evreyskaya AOb
Чукотский автономный округ;26;Chukotka|Chukotskiy Aok
